X1,anger,disgust,fear,joy,sadness,analytical,confident,tentative,openness,conscientiousness,extraversion,agreeableness,emotional_range
"It's not just, ""Wow, isn't that cool?",0.01,0.01,0,0.86,0.01,0,0,0,0.42,0.23,0.18,0.48,0.27
I have to tell you I'm both challenged and excited. ,0,0,0.01,0.85,0.01,0,0,0,0.26,0.52,0.74,0.99,0.03
""" ""Free?",0,0,0,0.85,0,0,0,0,0.29,0.27,0.54,0.6,0.29
I mean this is incredible. ,0.01,0.01,0.01,0.84,0.01,0,0,0,0.68,0.27,0.55,0.75,0.06
People live for love. ,0.02,0.02,0.02,0.83,0.06,0,0,0,0.06,0.27,0.61,0.59,0.15
NASA's really cool. ,0.03,0.02,0.02,0.83,0.03,0.31,0,0,0.47,0.21,0.51,0.56,0.02
"I taught English, and I met some incredible women there. ",0.01,0.02,0,0.83,0.02,0,0,0,0.6,0.27,0.73,0.81,0.11
I'm really grateful that I get a chance to play for everyone. ,0.02,0.01,0.01,0.82,0.03,0,0,0,0.09,0.09,0.37,0.97,0.24
"This was the love of his life, Sarah. ",0,0,0.01,0.82,0.03,0,0,0,0.81,0.58,0.78,0.92,0.61
It's just gorgeous.(Laughter)I'm dead serious here. ,0.02,0,0.08,0.82,0.02,0,0,0,0.55,0.2,0.46,0.75,0
How many of you here love surprises?,0,0.02,0.01,0.82,0.01,0,0,0,0.51,0.61,0.82,0.91,0.38
They want to honor God or honor their family. ,0.01,0.02,0.01,0.81,0.09,0,0,0,0.6,0.51,0.48,0.67,0.79
" Well, it's very simple. ",0.02,0,0.03,0.81,0.03,0,0,0,0.33,0.28,0.5,0.61,0.33
"And what I got was good, but it wasn't perfect. ",0,0,0.01,0.81,0.02,0,0,0,0.46,0.5,0.13,0.86,0.51
 All that being good and no real credit for it. ,0,0,0.01,0.81,0.01,0,0,0,0.57,0.78,0.84,0.5,0.92
Are you driven by significance or love?,0.01,0,0.01,0.81,0,0,0,0,0.88,0.37,0.68,0.61,0.4
"And so, that's an amazing thing to consider. ",0.01,0,0.02,0.8,0.01,0,0,0,0.4,0.17,0.84,0.99,0.18
"For his brilliant efforts, he was nearly impeached. ",0.04,0.01,0.06,0.79,0.06,0,0,0,0.27,0.39,0.55,0.79,0.39
This is a fantastic achievement. ,0.02,0,0.01,0.79,0.02,0,0,0,0.67,0.28,0.55,0.57,0.41
Healthy products. ,0,0,0.02,0.79,0.02,0,0,0,0.29,0.27,0.54,0.6,0.29
"It's pretty cool, huh?",0.03,0.06,0.01,0.79,0.01,0,0,0,0.45,0.3,0.52,0.61,0.43
That's not because I'm a tree-hugging green person. ,0,0.02,0.05,0.78,0.07,0,0,0,0.36,0.01,0.35,0.42,0.01
The most fun and moving thing I ever did in my life. ,0.01,0,0.02,0.78,0.04,0,0,0,0.15,0.17,0.23,0.34,0.2
I'd love a go at that. ,0.01,0,0.02,0.78,0.03,0,0,0,0.32,0.39,0.9,0.97,0.88
So you could imagine they were very excited about it. ,0,0,0.02,0.78,0.03,0,0,0,0.18,0.29,0.61,0.99,0.04
Lucky you can't see it. ,0,0,0.03,0.78,0.02,0,0,0.95,0,0.55,0.41,0.8,0.32
But that's not the good life. ,0.01,0.01,0.01,0.77,0.19,0,0,0,0.69,0.29,0.09,0.42,0.65
"And not anesthetized, separated from life. ",0.01,0.01,0.01,0.77,0.19,0,0,0,0.56,0.33,0.36,0.41,0.01
Wow! Some of you watched it. ,0.02,0.09,0.03,0.77,0.1,0,0,0,0.6,0.61,0.25,0.9,0.42
This one I love. ,0,0,0.01,0.77,0.09,0,0,0,0.29,0.38,0.42,0.7,0.12
And I got joy out of just watching them sleep. ,0.04,0.01,0.04,0.77,0.08,0,0,0,0.28,0.62,0.01,0.84,0
This is an absolutely beautiful way of working. ,0.01,0.01,0.02,0.77,0.05,0,0,0,0.7,0.29,0.74,0.67,0.05
] [Will we win that way?,0.04,0.02,0.02,0.77,0.03,0,0,0,0.27,0.57,0.36,0.74,0.82
And I have pretty good news for you. ,0,0,0.01,0.77,0.02,0,0,0,0.48,0.79,0.9,0.95,0.64
"He loved it, but he had a girlfriend in England. ",0,0,0,0.77,0.02,0,0,0,0.27,0.23,0.17,0.65,0.33
(Laughter)Mark Surfas. ,0.01,0.01,0.01,0.77,0,0.51,0,0,0.21,0.27,0.52,0.64,0.09
"(Laughter)It is, in fact, enormously important. ",0.01,0,0.02,0.77,0,0,0,0,0.43,0.11,0.12,0.46,0
They kill for love. ,0.14,0.01,0.03,0.76,0.11,0,0,0,0.58,0.66,0.67,0.66,0.66
(Laughter)(Shouting) Am I feeling lucky?,0.01,0,0.02,0.75,0.01,0,0,0,0.01,0.15,0.34,0.62,0
Is it a good goal?,0.01,0,0.01,0.75,0.01,0,0,0,0.29,0.26,0.41,0.44,0.56
"It's the only way our world's going to change.God bless you, thank you. ",0,0,0,0.75,0.01,0,0,0,0.12,0.91,0.55,0.89,0.89
And that's where the deepest happiness has actually come from. ,0,0,0.01,0.75,0.01,0,0,0,0.64,0.35,0.17,0.7,0.16
I can't tell you how wonderful it was. ,0.02,0,0,0.75,0,0,0,0,0.12,0.58,0.42,0.98,0.46
Am I feeling lucky?,0.01,0,0.08,0.74,0.09,0,0,0,0.02,0.25,0.45,0.6,0.02
Thank you very much.(Applause),0.02,0,0.01,0.74,0.02,0,0,0,0.34,0.3,0.59,0.66,0.4
"Here it is, finally to be revealed. ",0.01,0,0.05,0.73,0.1,0,0,0,0.56,0.64,0.12,0.58,0.51
It dances to music. ,0.01,0.01,0.02,0.73,0.03,0,0,0,0.07,0.25,0.53,0.55,0.36
"Physically, a really cool, elegant thinking coming along lately. ",0,0.05,0.08,0.71,0.08,0,0,0,0.68,0.06,0.67,0.66,0
You won't get it from the first four. ,0.03,0,0.02,0.71,0.02,0,0,0,0.13,0.98,0.09,0.6,0.94
"""(Laughter)And she said ...(Laughter)""Listen. ",0.01,0,0.01,0.71,0,0,0,0,0.54,0.26,0.52,0.63,0.08
"A volunteer, yay!(Laughter)(Applause)Jennifer Lin: Nice to meet you.Goldie Hawn: Thank you. ",0,0,0,0.71,0,0,0,0,0.09,0.36,0.8,0.99,0.4
It made me believe this: that strangers care. ,0.11,0.02,0.01,0.7,0.07,0,0,0,0.49,0.91,0.6,0.92,0.18
And Sheikh Zayed did that in a fairly good way. ,0.09,0.01,0.03,0.7,0.05,0,0,0,0.66,0.52,0.59,0.76,0.85
Romantic love is very simple.You become extremely sexually possessive. ,0.01,0,0.04,0.7,0.05,0,0,0,0.59,0.27,0.56,0.61,0.08
"I have good news that the present, new Head of U.N. ",0,0,0.05,0.7,0,0.05,0,0,0.36,0.73,0.28,0.67,0.64
"You gave them love, joy, were there to comfort them. ",0.01,0,0,0.69,0.01,0,0,0,0.69,0.91,0.84,1,0.64
 Kind of exciting. ,0,0,0.01,0.69,0.01,0,0,0,0.65,0.26,0.52,0.6,0.07
 Give up?,0,0,0,0.69,0,0,0,0,0.25,0.28,0.53,0.59,0.26
I'll give you a few quotes. ,0.06,0.01,0.03,0.68,0.05,0,0,0,0.6,0.41,0.59,0.85,0.47
It was amazing to see how people were moved by this film. ,0.01,0.02,0.02,0.68,0.02,0,0,0,0.27,0.5,0.68,0.98,0.24
 Pursuing happiness.(Laughter)Are you a virgin?,0,0,0,0.68,0,0,0,0,0.46,0.29,0.5,0.63,0.12
"So, everybody's betting their life on something. ",0.04,0.04,0.08,0.67,0.05,0,0,0,0.21,0.14,0.71,0.25,0.09
"Excellent insights into human psychology, wise advice on every page. ",0.02,0,0.02,0.67,0.03,0,0,0,0.7,0.33,0.7,0.62,0.34
"DNA: Design, Nature, Art. ",0.04,0.01,0.04,0.67,0.01,0,0,0,0.38,0.27,0.54,0.6,0.31
"This is not a joke.(Laughter)But, I think it's a really fun and wonderful thing. ",0,0,0.01,0.67,0,0,0,0,0.67,0.02,0.04,0.87,0.01
True story. ,0.04,0.08,0.05,0.66,0.14,0,0.94,0,0.48,0.27,0.54,0.6,0.32
You can't keep a good idea down these days. ,0,0,0.04,0.66,0.11,0,0,0,0.03,0.69,0.66,0.68,0.34
And luckily he agreed. ,0.02,0.09,0.05,0.66,0.03,0,0,0,0.42,0.31,0.44,0.64,0.47
"Sincerely, Mr Micheal Bangura.""(Laughter)(Applause)This is really embarrassing. ",0.01,0.01,0.02,0.66,0.03,0,0,0,0.07,0.03,0.39,0.78,0
And the other is becoming paraplegic.(Laughter)Just give it a moment of thought. ,0,0,0.02,0.66,0.03,0,0,0.65,0.93,0.01,0.01,0.4,0
My story starts way before I was born. ,0.09,0.04,0.06,0.65,0.1,0,0,0,0.45,0.14,0.22,0.58,0.36
"It determines, really, everything in your life. ",0.05,0.01,0.03,0.65,0.1,0,0,0,0.32,0.34,0.44,0.56,0.28
And the song that I just played was by Josef Hofmann. ,0.01,0.01,0.02,0.65,0.09,0,0,0,0.82,0.01,0.09,0.3,0.48
And that prediction came true. ,0.03,0.01,0.05,0.65,0.06,0,0,0,0.92,0.44,0.62,0.77,0.74
I really think that there's this inner desire. ,0.06,0,0.02,0.65,0.05,0,0,0,0.81,0.04,0.04,0.61,0
"Because science is easy, right?",0.01,0,0.07,0.65,0.05,0.88,0,0,0.62,0.37,0.54,0.51,0.34
Imagine a day when you have everyone coming together from around the world. ,0.01,0,0.02,0.64,0.13,0.56,0,0,0.12,0.81,0.51,0.81,0.36
"And everyone was supposed to be happy in that community, and, in fact, my life was hell. ",0.11,0.01,0.02,0.64,0.11,0,0,0,0.65,0.54,0.91,0.96,0.53
I couldn't have done better. ,0.02,0,0.01,0.64,0.04,0,0,0,0.01,0.28,0.16,0.66,0.21
The beautiful thing is that it moves bodily. ,0.01,0,0.03,0.64,0.04,0,0,0,0.86,0.4,0.77,0.28,0.54
"Palm is also, especially in the old days, wonderful about this. ",0.01,0.01,0.01,0.64,0.02,0,0,0,0.65,0.18,0.83,0.84,0.24
I think they're wonderful. ,0.05,0.01,0.01,0.64,0.01,0,0,0,0.45,0.18,0.36,0.72,0.02
"Thank you, James, for your great inspiration.Thank you very much.(Applause)",0,0,0,0.64,0,0,0,0,0.47,0.44,0.79,0.8,0.74
Trust me. ,0,0,0,0.64,0,0,0,0,0.3,0.27,0.54,0.6,0.25
And there's a reason. ,0,0,0,0.64,0,0,0,0,0.54,0.06,0.25,0.36,0.01
It wouldn't do just to vaccinate everyone. ,0.1,0.02,0.07,0.63,0.11,0,0,0,0,0.25,0.18,0.6,0.34
They laughed everywhere over the world I showed this. ,0.01,0.05,0.02,0.63,0.05,0,0,0,0.34,0.33,0.12,0.53,0.13
(Laughter)Women's longer lifespan?,0.02,0.03,0.02,0.63,0.02,0,0,0,0.3,0.26,0.51,0.61,0.06
But it's a nice tendency. ,0.01,0.01,0.02,0.63,0.02,0,0,0,0.68,0.21,0.29,0.54,0.24
 That's a pretty soft landing.Thank you.(Applause),0.01,0,0.01,0.63,0.01,0,0,0,0.85,0.5,0.87,0.89,0.9
(Laughter)Audience: Where's your lab?,0.02,0.01,0.04,0.63,0,0,0,0,0.25,0.26,0.59,0.65,0.13
Scale is truly important. ,0.01,0.04,0.02,0.62,0.05,0,0,0,0.61,0.27,0.56,0.6,0.2
"I think the happiness we find, we make. ",0,0,0.01,0.62,0.02,0,0,0,0.32,0.5,0.15,0.73,0.32
"It shows how observation, curiosity and instinct work to create amazing art. ",0,0,0.01,0.62,0.02,0,0,0,0.82,0.6,0.61,0.62,0.6
"Insulation, better design. ",0.02,0,0.03,0.62,0.01,0,0,0,0.39,0.31,0.58,0.58,0.41
"But there's also a new Microsoft, that's really doing good, simple interface designs. ",0.01,0,0.02,0.62,0.01,0,0,0,0.75,0.35,0.33,0.43,0.5
"And I saw the power of the image, and it was incredible. ",0,0.09,0.01,0.62,0.01,0,0,0,0.91,0.49,0.49,0.54,0.62
So off they go and she's squealing and squeezing him and laughing and having a wonderful time. ,0,0,0.01,0.62,0,0,0,0,0.33,0.28,0.9,0.97,0
And it's also deeply embedded in our lives. ,0.01,0.02,0.02,0.61,0.16,0,0,0,0.72,0.27,0.43,0.63,0.04
That's how the world found out about SARS. ,0.01,0.02,0.04,0.61,0.08,0,0,0,0.77,0.16,0.57,0.69,0.45
Proximity is important. ,0.04,0.02,0.06,0.61,0.03,0,0,0,0.44,0.26,0.46,0.5,0.05
"And so you see these things, it's not just always smiling. ",0,0,0.01,0.61,0.01,0,0,0,0.14,0.85,0.45,0.97,0.02
"I love it.(Laughter)LB: Well, as Ron St. ",0,0,0,0.61,0,0,0,0,0.34,0.47,0.83,0.98,0.37
"(Laughter)Or no matter what happens, they find a way to be happy or excited. ",0,0,0,0.61,0,0,0,0.62,0.1,0.29,0.38,0.98,0.18
"All during the holidays, Thanksgiving, Christmas, in different countries around the world.(Applause)Thank you. ",0,0,0,0.6,0.02,0,0.7,0,0.27,0.58,0.61,0.72,0.83
They have six good feelings. ,0.02,0,0.12,0.6,0.15,0,0,0,0.35,0.31,0.33,0.61,0.18
It was pretty obvious that it was really our parents giving us the presents. ,0.09,0.01,0.01,0.6,0.05,0,0,0,0.92,0.54,0.62,0.93,0.66
I've been carrying on here about the biology of love. ,0.01,0,0.02,0.6,0.04,0,0,0,0.7,0.41,0.46,0.47,0
Help me make green the new black. ,0.01,0.03,0.01,0.6,0.03,0,0,0,0.68,0.51,0.8,0.66,0.71
You can get your desires or goals. ,0.04,0,0.01,0.6,0.01,0,0,0,0.28,0.31,0.48,0.55,0.41
"We are one.Thank you very much, I appreciate it.(Applause)",0.01,0,0,0.6,0.01,0,0,0,0.48,0.63,0.51,0.97,0.51
"It's about making the world a better place.""Thank you.",0.01,0,0,0.6,0.01,0,0,0,0.57,0.64,0.83,0.93,0.87
"Sir Thomas Brown wrote in 1642, ""I am the happiest man alive. ",0,0,0,0.6,0.01,0,0,0,0.29,0.13,0.39,0.8,0.12
"Thank you very much.(Laughter)So, 15 minutes left.(Laughter)Well, I was born... ",0.01,0,0,0.6,0,0,0,0,0.07,0.17,0.3,0.99,0
" In itself, I'm sure we all agree, it is a wonderful goal. ",0,0,0,0.6,0,0,0,0,0.66,0.39,0.24,0.85,0.4
But I wish it were better. ,0.01,0,0.04,0.59,0.27,0,0,0,0.14,0.36,0.14,0.81,0.48
And I've embraced my inner capitalist. ,0.02,0,0.01,0.59,0.06,0,0,0,0.75,0.19,0.58,0.32,0.04
Nobody in the world of marketing knows this.[It all looks so great. ,0,0,0.02,0.59,0.01,0,0,0,0.66,0.57,0.88,0.32,0.67
But it really didn't begin there. ,0.1,0.01,0.18,0.58,0.1,0,0,0,0.17,0.32,0,0.63,0.15
"I'm also the first time here, and ...(Laughter)I don't know what to say!(Applause)I'm really happy that Mr. ",0,0,0.01,0.58,0,0,0,0,0.12,0.15,0.04,0.98,0.08
Health care. ,0.04,0.02,0.02,0.57,0.12,0,0,0,0.28,0.27,0.54,0.6,0.29
That's really important. ,0.07,0.04,0.11,0.57,0.1,0,0,0,0.3,0.27,0.48,0.6,0.14
It's made from aluminum ... ,0.05,0.05,0.05,0.57,0.07,0,0,0,0.87,0.32,0.52,0.58,0.52
"That, actually, was the easy part. ",0.03,0.01,0.07,0.57,0.05,0,0,0,0.63,0.22,0.09,0.23,0.79
Furniture's a good one. ,0.04,0,0.03,0.57,0.04,0,0,0,0.16,0.23,0.42,0.49,0.34
" Talent, background, education, freedom, networks, opportunities, wealth, ideas, creativity. ",0.01,0,0.02,0.57,0.04,0,0,0,0.2,0.28,0.55,0.6,0.37
I'm looking at single-surface structures and how they stretch and flow. ,0.01,0.02,0.01,0.57,0.04,0,0,0,0.88,0.12,0.66,0.14,0.1
And there are incredible organizations that are out there doing this already. ,0.01,0.02,0.02,0.57,0.03,0,0,0,0.88,0.65,0.89,0.79,0.25
Sorry.(Laughter)That's a solar seed. ,0,0,0.02,0.57,0.03,0,0,0,0.39,0.24,0.64,0.67,0.51
Projects we've done. ,0.04,0.03,0.08,0.57,0.02,0,0,0,0.26,0.27,0.54,0.6,0.24
(Applause) Thank you. ,0.01,0,0.01,0.57,0.01,0,0,0,0.34,0.28,0.55,0.6,0.43
"It's as if the world is flattening off, isn't it?",0.02,0.02,0.02,0.56,0.12,0,0,0,0.4,0.08,0.01,0,0.29
"It doesn't look as cool, does it?",0.01,0.02,0.01,0.56,0.02,0,0,0,0.41,0.29,0.38,0.51,0.47
"Now, if they had asked me, ""Do you feel that God loves you with all his heart?",0,0,0.03,0.56,0.02,0,0,0,0.54,0.98,0.74,0.99,0.69
"These are not goals or desires, these are universal. ",0.04,0,0.01,0.56,0.01,0,0,0,0.64,0.3,0.54,0.52,0.26
We're interested in perfect color uniformity. ,0.01,0.01,0.01,0.56,0.01,0,0,0,0.89,0.2,0.77,0.58,0.06
"""(Laughter)And I have to say that it's not all me this year. ",0,0,0.01,0.56,0.01,0,0,0,0.35,0.9,0.06,0.98,0.1
And it's truly a great honor to have the opportunity to come to this stage twice; I'm extremely grateful. ,0,0,0,0.56,0,0,0,0,0.16,0.46,0.69,1,0.46
"There's something important to be learned from these people, and it is the secret of happiness. ",0,0,0,0.56,0,0,0,0,0.83,0.57,0.06,0.49,0.16
Do you remember the story?,0.02,0.05,0.08,0.55,0.31,0,0,0,0.24,0.5,0.47,0.74,0.84
"Really, they were actually against it. ",0.16,0.05,0.13,0.55,0.14,0.8,0,0,0.6,0.27,0.15,0.58,0.28
These impacts are coming everyone's way. ,0.08,0.03,0.08,0.55,0.12,0,0,0,0.59,0.31,0.74,0.55,0.08
"People like to surround themselves with unnecessary power, right?",0.06,0.08,0.09,0.55,0.05,0,0,0,0.54,0.28,0.67,0.56,0.14
" What is the great revolution in science of the last 10, 15 years?",0,0,0.01,0.55,0.04,0,0,0,0.66,0.55,0.53,0.47,0.67
We were incredibly lucky that it got picked up. ,0.01,0,0.01,0.55,0.02,0,0,0,0.33,0.7,0.64,0.92,0.55
 Why is the website as good as it is?,0.01,0,0.01,0.55,0.02,0,0,0,0.59,0.45,0.67,0.39,0.75
"It's self-inspirational, again. ",0.05,0.11,0.04,0.54,0.15,0,0,0,0.45,0.25,0.56,0.65,0.04
And I began teaching there. ,0.09,0.01,0.02,0.54,0.06,0,0,0,0.73,0.33,0.28,0.56,0.12
"It doesn't mean I won't some day, but I haven't yet. ",0.01,0,0.03,0.54,0.06,0,0,0,0,0.17,0,0.47,0.01
"(Music)(Music ends)(Applause)(Applause ends)Hi, everyone. ",0.01,0,0.03,0.54,0.05,0,0,0,0.27,0.27,0.56,0.61,0.19
You have to invest in health. ,0.01,0,0.03,0.54,0.02,0,0,0,0.06,0.36,0.57,0.69,0.53
The amazing complexity of people emerges.Samir Khader: Business as usual. ,0.01,0.01,0.01,0.54,0.01,0,0,0,0.72,0.35,0.97,0.65,0.27
"Counterbalance.Like I say, it's a cross between Natural History Museum and a NASA laboratory. ",0,0.01,0.03,0.54,0.01,0,0,0.06,0.97,0.44,0.47,0.63,0.44
 Get a fucking life.(Laughter)Why are you doing it?,0.29,0.01,0.01,0.54,0,0,0,0,0.13,0.27,0.36,0.71,0
I am not that caring.(Laughter)I talk about myself. ,0.01,0,0.01,0.54,0,0,0,0,0.51,0.04,0.11,0.76,0
All of us here have great minds. ,0.01,0.01,0.03,0.53,0.02,0,0.9,0,0.84,0.79,0.77,0.87,0.49
They are seeping around the world. ,0.04,0.01,0.04,0.53,0.12,0,0,0,0.75,0.39,0.49,0.27,0.28
You don't like to be surprised. ,0.01,0.17,0,0.53,0.12,0,0,0,0.06,0.62,0.36,0.77,0.27
"(Laughter)OK, does anybody realize there's a crisis in our schools, around the world?",0.02,0,0.12,0.53,0.07,0,0,0,0.4,0.03,0.1,0.38,0.04
But we scientists are inconsistent. ,0.01,0.02,0.07,0.53,0.05,0,0,0,0.86,0.32,0.54,0.59,0.19
"We can do it through intimacy, friendship, prayer, through walking in nature. ",0,0,0.02,0.53,0.04,0,0,0,0.56,0.41,0.44,0.67,0.2
Question: Was domestication good for sheep?,0.03,0,0.05,0.53,0.02,0.96,0,0,0.37,0.16,0.41,0.53,0.38
(Music)(Music ends)(Applause)Thank you!(Applause continues)Thank you very much. ,0.01,0,0,0.53,0.01,0,0,0,0.36,0.33,0.68,0.74,0.42
Aren't you glad you came to this positive visit?,0,0,0.02,0.53,0.01,0,0,0,0.21,0.79,0.9,0.99,0.62
"Jimmy, you mentioned impartiality being a key to Wikipedia's success. ",0,0,0.03,0.53,0.01,0,0,0,0.18,0.34,0.8,0.87,0.46
"If money actually made you happy, then the wealthiest people in the world would be the happiest. ",0,0,0,0.53,0.01,0.46,0,0,0.18,0.45,0.29,0.73,0.51
Health is there and better health is up there. ,0,0,0.01,0.53,0.01,0,0,0,0.82,0.38,0.75,0.58,0.38
I'm just interested in natural growth patterns and the beautiful forms that only nature really creates. ,0,0,0,0.53,0.01,0,0,0,0.98,0.28,0.84,0.53,0.04
"(Laughter)10 seconds!(Laughter and applause)10 seconds, I want to be respectful. ",0,0,0.01,0.53,0,0,0,0,0.32,0.19,0.34,0.75,0
"Thank you!(Applause)Now, she chose C, G, B, A, E. ",0,0,0.01,0.53,0,0,0,0,0.12,0.41,0.54,0.7,0.69
"We have wonderful design tools, and more and more are added up here. ",0,0,0.01,0.53,0,0,0,0,0.85,0.61,0.73,0.55,0.53
I give him an A+ on this.(Laughter)Is the goal achieved?,0,0,0,0.53,0,0,0,0,0.38,0.16,0.04,0.5,0.11
And the first is pretty obvious. ,0.12,0.02,0.01,0.52,0.37,0,0,0,0.98,0.29,0.58,0.33,0.51
"Think bike shops, juice stands. ",0.08,0.26,0.12,0.52,0.09,0.84,0,0,0.21,0.25,0.58,0.49,0.46
It's very simple: it's a chair. ,0.02,0.01,0.03,0.52,0.04,0,0,0,0.55,0.32,0.47,0.64,0.33
It's important.Be a green consumer. ,0.04,0.03,0.03,0.52,0.03,0,0,0,0.73,0.38,0.66,0.63,0.57
"I think math is very important, but so is dance. ",0,0,0.07,0.52,0.03,0,0,0,0.26,0.12,0.11,0.39,0
"Thank you so much, Chris. ",0.03,0,0.01,0.52,0.02,0,0,0,0.16,0.35,0.71,0.73,0.46
"That's crazy.""(Laughter)But they said, ""No, but don't show anyone.""But they slipped up. ",0.02,0,0.01,0.52,0.02,0,0,0,0.41,0.32,0.05,0.61,0.1
"Most of us here have great minds, right?",0.01,0.01,0.02,0.52,0.02,0,0,0.62,0.84,0.91,0.87,0.97,0.51
And so I went there and I met some amazing women there. ,0.01,0,0.02,0.52,0.01,0,0,0,0.72,0.59,0.92,0.98,0.15
An uncle gives a niece or a nephew that as a birthday present. ,0,0.01,0.03,0.52,0.01,0,0,0,0.26,0.23,0.62,0.73,0.32
And I think we owe a great debt of gratitude to GPHIN and to Ron St. ,0,0,0.01,0.52,0,0,0,0,0.41,0.91,0.87,0.98,0.92
All solutions are local. ,0.02,0.01,0.04,0.51,0.13,0,0.96,0,0.43,0.28,0.61,0.58,0.46
Imagine taking all the world's books. ,0.03,0.04,0.06,0.51,0.2,0.8,0,0,0.67,0.31,0.41,0.49,0.18
"So, this is the dream.In fact, this dream is actually being realized. ",0.02,0,0.06,0.51,0.18,0,0,0,0.24,0.03,0.09,0.11,0
Ze Frank.(Applause),0.04,0.05,0.04,0.51,0.1,0,0,0,0.27,0.27,0.54,0.6,0.28
And the same is true for all the other sciences. ,0,0,0.04,0.51,0.1,0,0,0,0.94,0.75,0.73,0.38,0.7
"Until you read the whole psalm, the whole chapter. ",0.05,0.01,0.16,0.51,0.07,0,0,0,0.65,0.44,0.4,0.59,0.76
